"MetricName","Value","Timestamp","GeneratedNumber","ServiceName","ScopeName"
"http.server.active_requests",0,"2025-09-01 22:13:42","","fastapi-app","opentelemetry.instrumentation.fastapi"
"negative_numbers_total",1,"2025-09-01 22:13:42","-3","fastapi-app","app.main"
"negative_numbers_total",1,"2025-09-01 22:13:42","-32","fastapi-app","app.main"
"negative_numbers_total",1,"2025-09-01 22:13:42","-4","fastapi-app","app.main"
"negative_numbers_total",1,"2025-09-01 22:13:42","-58","fastapi-app","app.main"
"negative_numbers_total",1,"2025-09-01 22:13:42","-84","fastapi-app","app.main"
"positive_numbers_total",1,"2025-09-01 22:13:42","52","fastapi-app","app.main"
"positive_numbers_total",1,"2025-09-01 22:13:42","68","fastapi-app","app.main"
"positive_numbers_total",1,"2025-09-01 22:13:42","70","fastapi-app","app.main"
"positive_numbers_total",1,"2025-09-01 22:13:42","75","fastapi-app","app.main"
"http.server.active_requests",0,"2025-09-01 22:05:17","","fastapi-app","opentelemetry.instrumentation.fastapi"
"negative_numbers_total",1,"2025-09-01 22:05:17","-3","fastapi-app","app.main"
"negative_numbers_total",1,"2025-09-01 22:05:17","-4","fastapi-app","app.main"
"negative_numbers_total",1,"2025-09-01 22:05:17","-58","fastapi-app","app.main"
"positive_numbers_total",1,"2025-09-01 22:05:17","52","fastapi-app","app.main"
"positive_numbers_total",1,"2025-09-01 22:05:17","68","fastapi-app","app.main"
"http.server.active_requests",0,"2025-09-01 22:05:12","","fastapi-app","opentelemetry.instrumentation.fastapi"
"negative_numbers_total",1,"2025-09-01 22:05:12","-3","fastapi-app","app.main"
"negative_numbers_total",1,"2025-09-01 22:05:12","-4","fastapi-app","app.main"
"negative_numbers_total",1,"2025-09-01 22:05:12","-58","fastapi-app","app.main"
"positive_numbers_total",1,"2025-09-01 22:05:12","52","fastapi-app","app.main"
"http.server.active_requests",0,"2025-09-01 22:05:07","","fastapi-app","opentelemetry.instrumentation.fastapi"
